FA/FD/FR,Case No,status,time,commands,energy
FD,FD175,File Not Found,-1,-1,-1
FD,FD176,Success,14880,590818,260350418408
FD,FD177,File Not Found,-1,-1,-1
FD,FD178,Success,99996,3995528,1749591759754
FD,FD179,File Not Found,-1,-1,-1
FD,FD180,File Not Found,-1,-1,-1
FD,FD181,File Not Found,-1,-1,-1
FD,FD182,File Not Found,-1,-1,-1
FD,FD183,File Not Found,-1,-1,-1
FD,FD184,File Not Found,-1,-1,-1
FD,FD185,File Not Found,-1,-1,-1
FD,FD186,File Not Found,-1,-1,-1
FR,FR001,File Not Found,-1,-1,-1
FR,FR002,File Not Found,-1,-1,-1
FR,FR003,File Not Found,-1,-1,-1
FR,FR004,File Not Found,-1,-1,-1
FR,FR005,File Not Found,-1,-1,-1
FR,FR006,File Not Found,-1,-1,-1
FR,FR007,File Not Found,-1,-1,-1
FR,FR008,File Not Found,-1,-1,-1
FR,FR009,File Not Found,-1,-1,-1
FR,FR010,File Not Found,-1,-1,-1
FR,FR011,File Not Found,-1,-1,-1
FR,FR012,File Not Found,-1,-1,-1
FR,FR013,File Not Found,-1,-1,-1
FR,FR014,File Not Found,-1,-1,-1
FR,FR015,File Not Found,-1,-1,-1
FR,FR016,File Not Found,-1,-1,-1
FR,FR017,File Not Found,-1,-1,-1
FR,FR018,File Not Found,-1,-1,-1
FR,FR019,File Not Found,-1,-1,-1
FR,FR020,File Not Found,-1,-1,-1
FR,FR021,File Not Found,-1,-1,-1
FR,FR022,File Not Found,-1,-1,-1
FR,FR023,File Not Found,-1,-1,-1
FR,FR024,File Not Found,-1,-1,-1
FR,FR025,File Not Found,-1,-1,-1
FR,FR026,File Not Found,-1,-1,-1
FR,FR027,File Not Found,-1,-1,-1
FR,FR028,File Not Found,-1,-1,-1
FR,FR029,File Not Found,-1,-1,-1
FR,FR030,File Not Found,-1,-1,-1
FR,FR031,File Not Found,-1,-1,-1
FR,FR032,File Not Found,-1,-1,-1
FR,FR033,File Not Found,-1,-1,-1
FR,FR034,File Not Found,-1,-1,-1
FR,FR035,File Not Found,-1,-1,-1
FR,FR036,File Not Found,-1,-1,-1
FR,FR037,File Not Found,-1,-1,-1
FR,FR038,File Not Found,-1,-1,-1
FR,FR039,File Not Found,-1,-1,-1
FR,FR040,File Not Found,-1,-1,-1
FR,FR041,File Not Found,-1,-1,-1
FR,FR042,File Not Found,-1,-1,-1
FR,FR043,File Not Found,-1,-1,-1
FR,FR044,File Not Found,-1,-1,-1
FR,FR045,File Not Found,-1,-1,-1
FR,FR046,File Not Found,-1,-1,-1
FR,FR047,File Not Found,-1,-1,-1
FR,FR048,File Not Found,-1,-1,-1
FR,FR049,File Not Found,-1,-1,-1
FR,FR050,File Not Found,-1,-1,-1
FR,FR051,File Not Found,-1,-1,-1
FR,FR052,File Not Found,-1,-1,-1
FR,FR053,File Not Found,-1,-1,-1
FR,FR054,File Not Found,-1,-1,-1
FR,FR055,File Not Found,-1,-1,-1
FR,FR056,File Not Found,-1,-1,-1
FR,FR057,File Not Found,-1,-1,-1
FR,FR058,File Not Found,-1,-1,-1
FR,FR059,File Not Found,-1,-1,-1
FR,FR060,File Not Found,-1,-1,-1
FR,FR061,File Not Found,-1,-1,-1
FR,FR062,File Not Found,-1,-1,-1
FR,FR063,File Not Found,-1,-1,-1
FR,FR064,File Not Found,-1,-1,-1
FR,FR065,File Not Found,-1,-1,-1
FR,FR066,File Not Found,-1,-1,-1
FR,FR067,File Not Found,-1,-1,-1
FR,FR068,File Not Found,-1,-1,-1
FR,FR069,File Not Found,-1,-1,-1
FR,FR070,File Not Found,-1,-1,-1
FR,FR071,File Not Found,-1,-1,-1
